x,y,range,pos_x,pos_y,lat,lon
2281,1213,17,8.375020027160645,-15.798401832580566,-22.917133701275755,-43.16673324455323
2005,1479,10,5.729762077331543,-9.01583194732666,-22.917104105639712,-43.16680912920175
942,888,88,68.81663513183594,-56.89191436767578,-22.91780993326395,-43.16627348272133
706,1338,13,11.112183570861816,-7.981201171875,-22.917164325168617,-43.16682070484256
1911,877,100,56.69028472900391,-84.03768920898438,-22.91767426140892,-43.165969770762935
1004,1225,17,13.026206970214844,-11.172200202941896,-22.917185739617032,-43.166785003354185
1526,886,90,58.669429779052734,-68.648681640625,-22.917696404450425,-43.16614194583083
1158,1268,15,11.295787811279297,-10.613296508789062,-22.91716637936688,-43.166791256472266
714,1555,9,7.872635841369629,-5.681621551513672,-22.917128080508405,-43.16684643296541
2273,1001,35,17.439159393310547,-32.71924591064453,-22.91723511254636,-43.16654393101465
675,1341,13,11.138808250427246,-7.852790355682373,-22.917164623050464,-43.166822141526566
2073,1105,23,12.503089904785156,-20.55362892150879,-22.91717988688638,-43.16668004219153
428,1592,9,8.064154624938965,-4.892770290374756,-22.91713022325604,-43.16685525877948
2721,828,359,138.71939086914062,-359.2961730957031,-22.918592018246468,-43.162890127846325
2777,1610,8,3.275486469268799,-8.8634672164917,-22.91707664674949,-43.16681083388659
1682,1361,12,7.880792617797852,-10.136428833007812,-22.91712817176793,-43.166796591756174
1608,1008,35,22.310134887695312,-27.43146514892578,-22.917289609922666,-43.16660309168552
2649,1060,27,11.04102897644043,-27.068004608154297,-22.91716352907783,-43.16660715814938
445,1200,18,16.02031707763672,-9.822161674499512,-22.91721923827565,-43.16680010783537
979,1364,12,9.839841842651367,-8.315230369567871,-22.917150089973624,-43.16681696766201
2598,1397,11,4.925745487213135,-11.624469757080078,-22.91709511015313,-43.16677994327862
1741,865,123,74.15515899658203,-98.89387512207033,-22.91786966165805,-43.16580355700244
1190,1326,13,9.935125350952148,-9.513548851013184,-22.91715115602317,-43.16680356065282
2612,1245,16,6.565568447113037,-15.656225204467772,-22.91711345679623,-43.16673483525169
2645,1558,9,3.777776956558228,-9.23367977142334,-22.917082266468523,-43.166806691879934
2048,982,40,21.41197395324707,-34.63494110107422,-22.91727956113172,-43.166522497861926
99,1063,27,26.55632972717285,-13.095444679260254,-22.917337117137247,-43.166763485738656
2772,1042,29,11.036359786987305,-29.746734619140625,-22.91716347683808,-43.16657718802172
